LIMS Auftrag;Probe;Probenahmedatum;Probenahmezeit;Gauss Hoch;Gauss Rechts;Entnahmestelle;Externe Bezeichnung;Anzeigewert;Einheit
2014-1456;0004;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 04;Sauerstoff;12,2;mg/l
2014-0144;0005;21.01.2014;11:30:00;381231,49;5661929,47;Boxberg;;12,2;
2014-1666;0001;13.05.2014;11:05:00;378103,66;5663206,22;Dhünnsche Mühle;Sauerstoff;10,8;mg/l
2014-2291;0006;08.07.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 10m;Sauerstoff;10,6;mg/l
2014-2549;0029;29.07.2014;10:30:00;375415,4;5659285,28;Boje D Sondenparameter 09;Sauerstoff;7,0;mg/l
2014-2549;0021;29.07.2014;10:30:00;375415,4;5659285,28;Boje D Sondenparameter 01;Sauerstoff;9,8;mg/l
2014-2291;0004;08.07.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;10,4;mg/l
2014-2549;0001;29.07.2014;08:50:00;373719,3;5658588,59;Boje B Sondenparameter 01;Sauerstoff;9,9;mg/l
2014-2025;0004;10.06.2014;09:00:00;376892,89;5661218,13;Ablauf Vorsperre Kleine Dhünn 19;Sauerstoff;9,7;mg/l
2014-1427;0015;22.04.2014;09:00:00;374556,98;5659393,1;Boje C Sondenparameter 05;Sauerstoff;12,5;mg/l
2014-0143;0011;21.01.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 11;;11,7;
2014-1937;0006;02.06.2014;09:30:00;373158,43;5657311,86;Eichholz (13);Sauerstoff;8,6;mg/l
2014-1427;0014;22.04.2014;09:00:00;374556,98;5659393,1;Boje C Sondenparameter 04;Sauerstoff;12,3;mg/l
2014-2549;0014;29.07.2014;10:00:00;374556,98;5659393,1;Boje C Sondenparameter 04;Sauerstoff;9,8;mg/l
2014-2549;0008;29.07.2014;08:50:00;373719,3;5658588,59;Boje B Sondenparameter 08;Sauerstoff;9,7;mg/l
2014-2549;0002;29.07.2014;08:50:00;373719,3;5658588,59;Boje B Sondenparameter 02;Sauerstoff;9,9;mg/l
2014-1664;0005;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Sauerstoff;10,6;mg/l
2014-3747;0005;28.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 8m;Sauerstoff;8,9;mg/l
2014-2288;0009;08.07.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 09;Sauerstoff;14,4;mg/l
2014-1427;0013;22.04.2014;09:00:00;374556,98;5659393,1;Boje C Sondenparameter 03;Sauerstoff;12,3;mg/l
2014-1427;0029;22.04.2014;09:00:00;375415,4;5659285,28;Boje D Sondenparameter 09;Sauerstoff;11,2;mg/l
2014-3662;0029;20.10.2014;11:20:00;375415,4;5659285,28;Boje D Sondenparameter 09;Sauerstoff;9,4;mg/l
2014-0333;0003;03.02.2014;11:30:00;379674,31;5660939,91;Kürtener Sülz bei Überleitung 18;;12,5;
2014-4523;0006;22.12.2014;11:45:00;372825,87;5659046;Ablauf Große Dhünn-Talsperre 23;Sauerstoff;10,8;mg/l
2014-1664;0006;12.05.2014;11:40:00;372825,87;5659046;Ablauf Große Dhünn-Talsperre 23;Sauerstoff;10,9;mg/l
2014-2288;0008;08.07.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 08;Sauerstoff;11,5;mg/l
2014-2080;0039;16.06.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 09;Sauerstoff;10,3;mg/l
2014-0143;0007;21.01.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 07;;11,8;
2014-3662;0020;20.10.2014;10:40:00;374556,98;5659393,1;Boje C Sondenparameter 10;Sauerstoff;9,1;mg/l
2014-1427;0018;22.04.2014;09:00:00;374556,98;5659393,1;Boje C Sondenparameter 08;Sauerstoff;11,5;mg/l
2014-2288;0012;08.07.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 12;Sauerstoff;13,0;mg/l
2014-1664;0001;12.05.2014;09:15:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;Sauerstoff;10,6;mg/l
2014-1664;0004;12.05.2014;09:00:00;376892,89;5661218,13;Ablauf Vorsperre Kleine Dhünn 19;Sauerstoff;10,0;mg/l
2014-0406;0006;03.02.2014;10:15:00;375747,94;5658738,58;Oberstockberg (4);;12,7;
2014-2128;0004;24.06.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 04;Sauerstoff;10,0;mg/l
2014-0333;0001;03.02.2014;09:35:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;;11,4;
2014-1427;0019;22.04.2014;09:00:00;374556,98;5659393,1;Boje C Sondenparameter 09;Sauerstoff;10,8;mg/l
2014-3926;0001;10.11.2014;09:15:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;Sauerstoff;10,9;mg/l
2014-2129;0001;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 0m;Sauerstoff;10,1;mg/l
2014-4378;0012;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 12;Sauerstoff;10,1;mg/l
2014-1664;0002;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Sauerstoff;10,9;mg/l
2014-4179;0001;24.11.2014;10:00:00;373059,55;5658958,10;Eturm Sondenparameter 01;Sauerstoff;9,7;mg/l
2014-1427;0002;22.04.2014;09:00:00;373719,3;5658588,59;Boje B Sondenparameter 02;Sauerstoff;12,3;mg/l
2014-3662;0021;20.10.2014;11:20:00;375415,4;5659285,28;Boje D Sondenparameter 01;Sauerstoff;9,5;mg/l
2014-0406;0008;03.02.2014;10:00:00;376461,23;5659305,93;Hutsherweg (5);;10,7;
2014-2287;0001;08.07.2014;09:15:00;373167,75;5658729,59;Boje A 0 - 2,5fache Sichttiefe;Sauerstoff;11,0;mg/l
2014-2549;0017;29.07.2014;10:00:00;374556,98;5659393,1;Boje C Sondenparameter 07;Sauerstoff;8,6;mg/l
2014-2288;0002;08.07.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 02;Sauerstoff;9,8;mg/l
2014-0324;0004;28.01.2014;08:35:00;373098,3;5657652,94;Breibacher Berg (12);;12,6;
2014-3223;0011;16.09.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 11;Sauerstoff;7,1;mg/l
2014-1427;0004;22.04.2014;09:00:00;373719,3;5658588,59;Boje B Sondenparameter 04;Sauerstoff;12,4;mg/l
2014-3379;0015;07.10.2014;09:25:00;373059,55;5658958,10;Eturm Sondenparameter 15;Sauerstoff;3,7;mg/l
2014-2080;0020;16.06.2014;10:15:00;374556,98;5659393,1;Boje C Sondenparameter 10;Sauerstoff;3,5;mg/l
2014-0129;0004;20.01.2014;09:20:00;376892,89;5661218,13;Ablauf Vorsperre Kleine Dhünn 19;;11,3;
2014-3377;0004;07.10.2014;10:40:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;9,1;mg/l
2014-3223;0015;16.09.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 15;Sauerstoff;2,7;mg/l
2014-4179;0009;24.11.2014;10:00:00;373059,55;5658958,10;Eturm Sondenparameter 09;Sauerstoff;9,3;mg/l
2014-3355;0006;29.09.2014;11:25:00;372825,87;5659046;Ablauf Große Dhünn-Talsperre 23;Sauerstoff;9,7;mg/l
2014-0141;0001;21.01.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 0m;;12,0;
2014-4179;0012;24.11.2014;10:00:00;373059,55;5658958,10;Eturm Sondenparameter 12;Sauerstoff;9,1;mg/l
2014-4378;0011;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 11;Sauerstoff;10,2;mg/l
2014-1427;0007;22.04.2014;09:00:00;373719,3;5658588,59;Boje B Sondenparameter 07;Sauerstoff;11,2;mg/l
2014-0322;0003;27.01.2014;09:50:00;374883,67;5660213,52;Hundhagener Bach (8a);;11,6;
2014-3356;0006;29.09.2014;10:20:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Sauerstoff;9,5;mg/l
2014-2288;0001;08.07.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 01;Sauerstoff;9,8;mg/l
2014-3379;0011;07.10.2014;09:25:00;373059,55;5658958,10;Eturm Sondenparameter 11;Sauerstoff;8,7;mg/l
2014-2549;0003;29.07.2014;08:50:00;373719,3;5658588,59;Boje B Sondenparameter 03;Sauerstoff;9,9;mg/l
2014-4378;0009;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 09;Sauerstoff;10,2;mg/l
2014-0406;0001;03.02.2014;11:05:00;374673,08;5657997,74;Richerzhagener Bach (2a);;12,0;
2014-3747;0003;28.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;8,9;mg/l
2014-3377;0006;07.10.2014;10:40:00;373719,3;5658588,59;Boje B Tiefenstufe 10m;Sauerstoff;9,0;mg/l
2014-2549;0007;29.07.2014;08:50:00;373719,3;5658588,59;Boje B Sondenparameter 07;Sauerstoff;11,2;mg/l
2014-1856;0002;27.05.2014;10:30:00;373059,55;5658958,10;Eturm Sondenparameter 02;Sauerstoff;10,3;mg/l
2014-3222;0003;16.09.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;10,3;mg/l
2014-2549;0013;29.07.2014;10:00:00;374556,98;5659393,1;Boje C Sondenparameter 03;Sauerstoff;10,5;mg/l
2014-3379;0005;07.10.2014;09:25:00;373059,55;5658958,10;Eturm Sondenparameter 05;Sauerstoff;9,0;mg/l
2014-1665;0006;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Sauerstoff;10,5;mg/l
2014-0406;0005;03.02.2014;10:15:00;375799,86;5658577,75;Oberstockberger Bach (4a);;12,2;
2014-2549;0034;29.07.2014;11:10:00;376510,19;5660027,58;Boje E Sondenparameter 04;Sauerstoff;10,4;mg/l
2014-4378;0001;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 01;Sauerstoff;10,4;mg/l
2014-2549;0012;29.07.2014;10:00:00;374556,98;5659393,1;Boje C Sondenparameter 02;Sauerstoff;9,9;mg/l
2014-1427;0001;22.04.2014;09:00:00;373719,3;5658588,59;Boje B Sondenparameter 01;Sauerstoff;12,3;mg/l
2014-1427;0006;22.04.2014;09:00:00;373719,3;5658588,59;Boje B Sondenparameter 06;Sauerstoff;11,5;mg/l
2014-1427;0026;22.04.2014;09:00:00;375415,4;5659285,28;Boje D Sondenparameter 06;Sauerstoff;12,6;mg/l
2014-3662;0003;20.10.2014;09:50:00;373719,3;5658588,59;Boje B Sondenparameter 03;Sauerstoff;9,3;mg/l
2014-3512;0005;06.10.2014;09:45:00;373040,24;5657244,47;Eichholzer Bach (13a);Sauerstoff;9,8;mg/l
2014-0141;0005;21.01.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 8m;;11,8;
2014-1456;0009;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 09;Sauerstoff;11,3;mg/l
2014-0365;0002;04.02.2014;09:25:00;373059,55;5658958,10;Eturm Sondenparameter 02;;12,7;
2014-3944;0004;11.11.2014;11:05:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;9,4;mg/l
2014-0252;0005;28.01.2014;09:20:00;373719,3;5658588,59;Boje B Sondenparameter 05;;11,8;
2014-2473;0007;22.07.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 07;Sauerstoff;10,0;mg/l
2014-1456;0007;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 07;Sauerstoff;12,6;mg/l
2014-0252;0035;28.01.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 05;;12,3;
2014-0252;0007;28.01.2014;09:20:00;373719,3;5658588,59;Boje B Sondenparameter 07;;11,8;
2014-1457;0001;29.04.2014;09:00:00;373167,75;5658729,59;Boje A 0 - 2,5fache Sichttiefe;Sauerstoff;11,8;mg/l
2014-3535;0006;13.10.2014;11:15:00;372825,87;5659046;Ablauf Große Dhünn-Talsperre 23;Sauerstoff;10,2;mg/l
2014-3535;0005;13.10.2014;09:15:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Sauerstoff;10,1;mg/l
2014-3535;0001;13.10.2014;09:45:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;Sauerstoff;10,4;mg/l
2014-0252;0017;28.01.2014;10:20:00;374556,98;5659393,1;Boje C Sondenparameter 07;;11,9;
2014-0365;0003;04.02.2014;09:25:00;373059,55;5658958,10;Eturm Sondenparameter 03;;12,6;
2014-3945;0014;11.11.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 14;Sauerstoff;8,8;mg/l
2014-2025;0001;10.06.2014;09:15:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;Sauerstoff;9,5;mg/l
2014-3513;0003;06.10.2014;12:20:00;379087,89;5664390,59;Knochenmühle;Sauerstoff;10,0;mg/l
2014-4262;0002;02.12.2014;11:45:00;378464,83;5663870,42;Staelsmühle;Sauerstoff;11,9;mg/l
2014-1458;0008;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 20m;Sauerstoff;11,4;mg/l
2014-0143;0013;21.01.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 13;;11,6;
2014-3840;0002;04.11.2014;11:40:00;378464,83;5663870,42;Staelsmühle;Sauerstoff;10,3;mg/l
2014-2453;0006;21.07.2014;11:50:00;372825,87;5659046;Ablauf Große Dhünn-Talsperre 23;Sauerstoff;8,8;mg/l
2014-3535;0002;13.10.2014;10:00:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Sauerstoff;10,0;mg/l
2014-1456;0001;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 01;Sauerstoff;11,9;mg/l
2014-0144;0001;21.01.2014;12:00:00;378103,66;5663206,22;Dhünnsche Mühle;;12,0;
2014-3291;0015;23.09.2014;10:00:00;374556,98;5659393,1;Boje C Sondenparameter 05;Sauerstoff;9,7;mg/l
2014-1456;0012;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 12;Sauerstoff;10,7;mg/l
2014-3944;0006;11.11.2014;11:05:00;373719,3;5658588,59;Boje B Tiefenstufe 10m;Sauerstoff;9,4;mg/l
2014-0252;0034;28.01.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 04;;12,3;
2014-2129;0009;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 25m;Sauerstoff;8,6;mg/l
2014-1456;0014;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 14;Sauerstoff;10,6;mg/l
2014-3535;0004;13.10.2014;09:30:00;376892,89;5661218,13;Ablauf Vorsperre Kleine Dhünn 19;Sauerstoff;9,8;mg/l
2014-1458;0009;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 25m;Sauerstoff;11,0;mg/l
2014-3291;0034;23.09.2014;11:10:00;376510,19;5660027,58;Boje E Sondenparameter 04;Sauerstoff;10,1;mg/l
2014-0252;0030;28.01.2014;10:55:00;375415,4;5659285,28;Boje D Sondenparameter 10;;12,0;
2014-3224;0002;16.09.2014;10:10:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Sauerstoff;9,9;mg/l
2014-3552;0009;14.10.2014;09:15:00;373059,55;5658958,10;Eturm Sondenparameter 09;Sauerstoff;8,2;mg/l
2014-0252;0003;28.01.2014;09:20:00;373719,3;5658588,59;Boje B Sondenparameter 03;;11,9;
2014-3552;0012;14.10.2014;09:15:00;373059,55;5658958,10;Eturm Sondenparameter 12;Sauerstoff;5,5;mg/l
2014-1458;0001;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 0m;Sauerstoff;11,9;mg/l
2014-3944;0003;11.11.2014;11:05:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;9,4;mg/l
2014-2080;0001;16.06.2014;09:30:00;373719,3;5658588,59;Boje B Sondenparameter 01;Sauerstoff;10,0;mg/l
2014-3944;0007;11.11.2014;11:05:00;373719,3;5658588,59;Boje B Tiefenstufe 15m;Sauerstoff;9,4;mg/l
2014-0324;0002;28.01.2014;09:40:00;374441,01;5657208,77;Hohe Mühle (1);;11,6;
2014-3554;0007;14.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 15m;Sauerstoff;9,0;mg/l
2014-3554;0008;14.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 20m;Sauerstoff;6,7;mg/l
2014-3554;0003;14.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;9,2;mg/l
2014-2453;0004;21.07.2014;09:00:00;376892,89;5661218,13;Ablauf Vorsperre Kleine Dhünn 19;Sauerstoff;10,2;mg/l
2014-3554;0002;14.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 2m;Sauerstoff;9,1;mg/l
2014-3552;0014;14.10.2014;09:15:00;373059,55;5658958,10;Eturm Sondenparameter 14;Sauerstoff;3,6;mg/l
2014-1456;0013;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 13;Sauerstoff;10,6;mg/l
2014-3379;0007;07.10.2014;09:25:00;373059,55;5658958,10;Eturm Sondenparameter 07;Sauerstoff;9,0;mg/l
2014-0252;0006;28.01.2014;09:20:00;373719,3;5658588,59;Boje B Sondenparameter 06;;11,8;
2014-3291;0014;23.09.2014;10:00:00;374556,98;5659393,1;Boje C Sondenparameter 04;Sauerstoff;9,7;mg/l
2014-4378;0016;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 16;Sauerstoff;10,0;mg/l
2014-1456;0016;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 16;Sauerstoff;10,1;mg/l
2014-4351;0005;08.12.2014;11:30:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Sauerstoff;12,7;mg/l
2014-0252;0016;28.01.2014;10:20:00;374556,98;5659393,1;Boje C Sondenparameter 06;;11,9;
2014-1456;0010;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 10;Sauerstoff;11,1;mg/l
2014-3536;0006;13.10.2014;10:30:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Sauerstoff;8,9;mg/l
2014-3291;0024;23.09.2014;10:40:00;375415,4;5659285,28;Boje D Sondenparameter 04;Sauerstoff;9,7;mg/l
2014-3291;0026;23.09.2014;10:40:00;375415,4;5659285,28;Boje D Sondenparameter 06;Sauerstoff;9,7;mg/l
2014-2080;0017;16.06.2014;10:15:00;374556,98;5659393,1;Boje C Sondenparameter 07;Sauerstoff;10,5;mg/l
2014-2128;0015;24.06.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 15;Sauerstoff;8,2;mg/l
2014-3554;0006;14.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 10m;Sauerstoff;9,0;mg/l
2014-3554;0004;14.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;9,0;mg/l
2014-1458;0002;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 2m;Sauerstoff;12,0;mg/l
2014-3552;0001;14.10.2014;09:15:00;373059,55;5658958,10;Eturm Sondenparameter 01;Sauerstoff;9,0;mg/l
2014-1856;0016;27.05.2014;10:30:00;373059,55;5658958,10;Eturm Sondenparameter 16;Sauerstoff;7,8;mg/l
2014-2080;0032;16.06.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 02;Sauerstoff;10,5;mg/l
2014-2128;0005;24.06.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 05;Sauerstoff;10,8;mg/l
2014-1456;0002;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 02;Sauerstoff;11,9;mg/l
2014-3513;0001;06.10.2014;11:55:00;378103,66;5663206,22;Dhünnsche Mühle;Sauerstoff;9,5;mg/l
2014-3512;0006;06.10.2014;09:40:00;373158,43;5657311,86;Eichholz (13);Sauerstoff;9,2;mg/l
2014-3377;0007;07.10.2014;10:40:00;373719,3;5658588,59;Boje B Tiefenstufe 15m;Sauerstoff;8,9;mg/l
2014-3513;0002;06.10.2014;12:05:00;378464,83;5663870,42;Staelsmühle;Sauerstoff;9,7;mg/l
2014-0252;0015;28.01.2014;10:20:00;374556,98;5659393,1;Boje C Sondenparameter 05;;12,0;
2014-0252;0023;28.01.2014;10:55:00;375415,4;5659285,28;Boje D Sondenparameter 03;;12,1;
2014-2129;0008;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 20m;Sauerstoff;10,2;mg/l
2014-2549;0025;29.07.2014;10:30:00;375415,4;5659285,28;Boje D Sondenparameter 05;Sauerstoff;8,8;mg/l
2014-2128;0010;24.06.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 10;Sauerstoff;12,8;mg/l
2014-2129;0002;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 2m;Sauerstoff;10,1;mg/l
2014-0252;0002;28.01.2014;09:20:00;373719,3;5658588,59;Boje B Sondenparameter 02;;12,0;
2014-2129;0003;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;10,1;mg/l
2014-3513;0004;06.10.2014;10:55:00;379828,79;5661338,53;Neumühle;Sauerstoff;9,9;mg/l
2014-2128;0013;24.06.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 13;Sauerstoff;9,9;mg/l
2014-3512;0007;06.10.2014;10:05:00;373263,14;5657164,12;Große Heider Delle (14a);Sauerstoff;8,1;mg/l
2014-3512;0002;06.10.2014;08:45:00;373881,03;5659471,38;Engerfeld (11);Sauerstoff;8,6;mg/l
2014-3513;0006;06.10.2014;11:35:00;380443,57;5661900,45;Purder Bach;Sauerstoff;9,6;mg/l
2014-3377;0003;07.10.2014;10:40:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;9,1;mg/l
2014-3512;0008;06.10.2014;10:00:00;373335,71;5657290,6;Große Heide (14);Sauerstoff;9,2;mg/l
2014-0364;0005;04.02.2014;10:30:00;373719,3;5658588,59;Boje B Tiefenstufe 8m;;12,6;
2014-0252;0040;28.01.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 10;;12,2;
2014-2113;0004;23.06.2014;09:20:00;376892,89;5661218,13;Ablauf Vorsperre Kleine Dhünn 19;Sauerstoff;10,5;mg/l
2014-0252;0036;28.01.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 06;;12,2;
2014-2113;0005;23.06.2014;09:00:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Sauerstoff;10,4;mg/l
2014-0252;0038;28.01.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 08;;12,2;
2014-2113;0002;23.06.2014;10:10:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Sauerstoff;10,3;mg/l
2014-3945;0016;11.11.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 16;Sauerstoff;0,7;mg/l
2014-0252;0010;28.01.2014;09:20:00;373719,3;5658588,59;Boje B Sondenparameter 10;;11,7;
2014-4351;0002;08.12.2014;10:30:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Sauerstoff;12,7;mg/l
2014-4351;0001;08.12.2014;11:00:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;Sauerstoff;8,6;mg/l
2014-4352;0006;08.12.2014;09:40:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Sauerstoff;11,5;mg/l
2014-4351;0006;08.12.2014;08:55:00;372825,87;5659046;Ablauf Große Dhünn-Talsperre 23;Sauerstoff;11,1;mg/l
2014-2129;0004;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;10,1;mg/l
2014-2111;0006;23.06.2014;10:30:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Sauerstoff;9,0;mg/l
2014-2128;0002;24.06.2014;08:30:00;373059,55;5658958,10;Eturm Sondenparameter 02;Sauerstoff;10,1;mg/l
2014-2129;0006;24.06.2014;10:15:00;373719,3;5658588,59;Boje B Tiefenstufe 10m;Sauerstoff;10,8;mg/l
2014-0252;0037;28.01.2014;11:15:00;376510,19;5660027,58;Boje E Sondenparameter 07;;12,2;
2014-4378;0007;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 07;Sauerstoff;10,3;mg/l
2014-3747;0004;28.10.2014;10:50:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;8,9;mg/l
2014-3945;0009;11.11.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 09;Sauerstoff;9,4;mg/l
2014-3946;0001;11.11.2014;09:30:00;373167,75;5658729,59;Boje A 0 - 2,5fache Sichttiefe;Sauerstoff;9,6;mg/l
2014-1458;0006;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 10m;Sauerstoff;12,6;mg/l
2014-3291;0030;23.09.2014;10:40:00;375415,4;5659285,28;Boje D Sondenparameter 10;Sauerstoff;2,9;mg/l
2014-3513;0005;06.10.2014;11:10:00;381231,49;5661929,47;Boxberg;Sauerstoff;10,0;mg/l
2014-1458;0003;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 4m;Sauerstoff;12,3;mg/l
2014-0252;0013;28.01.2014;10:20:00;374556,98;5659393,1;Boje C Sondenparameter 03;;12,0;
2014-2455;0006;21.07.2014;10:05:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Sauerstoff;8,5;mg/l
2014-2453;0005;21.07.2014;08:35:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Sauerstoff;9,0;mg/l
2014-4378;0003;09.12.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 03;Sauerstoff;10,4;mg/l
2014-2549;0036;29.07.2014;11:10:00;376510,19;5660027,58;Boje E Sondenparameter 06;Sauerstoff;10,6;mg/l
2014-3512;0001;06.10.2014;08:50:00;373824,01;5659552,24;Forthausener Bach  (11a);Sauerstoff;9,9;mg/l
2014-1456;0003;29.04.2014;09:00:00;373059,55;5658958,10;Eturm Sondenparameter 03;Sauerstoff;12,0;mg/l
2014-0252;0021;28.01.2014;10:55:00;375415,4;5659285,28;Boje D Sondenparameter 01;;12,2;
2014-1458;0004;29.04.2014;09:00:00;373719,3;5658588,59;Boje B Tiefenstufe 6m;Sauerstoff;12,6;mg/l
2014-3945;0001;11.11.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 01;Sauerstoff;9,7;mg/l
2014-3377;0008;07.10.2014;10:40:00;373719,3;5658588,59;Boje B Tiefenstufe 20m;Sauerstoff;4,8;mg/l
2014-2080;0024;16.06.2014;10:50:00;375415,4;5659285,28;Boje D Sondenparameter 04;Sauerstoff;10,7;mg/l
2014-3512;0004;06.10.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Sauerstoff;7,5;mg/l
2014-3945;0012;11.11.2014;09:30:00;373059,55;5658958,10;Eturm Sondenparameter 12;Sauerstoff;9,2;mg/l
2014-4261;0005;02.12.2014;09:45:00;373040,24;5657244,47;Eichholzer Bach (13a);Sauerstoff;12,0;mg/l
2014-0252;0014;28.01.2014;10:20:00;374556,98;5659393,1;Boje C Sondenparameter 04;;12,0;
2014-0252;0022;28.01.2014;10:55:00;375415,4;5659285,28;Boje D Sondenparameter 02;;12,1;
